[id][cost,state,father_id,action,depth,h,value]
[21930] [224.0,(86,86),20093,S,176,26.0 ,250.0]
[23154] [225.0,(87,86),21930,S,177,25.0 ,250.0]
[23195] [226.0,(87,87),23154,E,178,24.0 ,250.0]
[23200] [227.0,(88,87),23195,S,179,23.0 ,250.0]
[23242] [230.0,(88,88),23200,E,180,22.0 ,252.0]
[25124] [231.0,(89,88),23242,S,181,21.0 ,252.0]
[25158] [233.0,(89,89),25124,E,182,20.0 ,253.0]
[25887] [234.0,(89,90),25158,E,183,19.0 ,253.0]
[25890] [235.0,(89,91),25887,E,184,18.0 ,253.0]
[25894] [236.0,(89,92),25890,E,185,17.0 ,253.0]
[25898] [237.0,(89,93),25894,E,186,16.0 ,253.0]
[25900] [238.0,(89,94),25898,E,187,15.0 ,253.0]
[25904] [239.0,(90,94),25900,S,188,14.0 ,253.0]
[25931] [240.0,(90,95),25904,E,189,13.0 ,253.0]
[25936] [241.0,(91,95),25931,S,190,12.0 ,253.0]
[25962] [243.0,(92,95),25936,S,191,11.0 ,254.0]
[26703] [244.0,(93,95),25962,S,192,10.0 ,254.0]
[26734] [245.0,(93,96),26703,E,193,9.0 ,254.0]
[26739] [246.0,(94,96),26734,S,194,8.0 ,254.0]
[26778] [247.0,(95,96),26739,S,195,7.0 ,254.0]
[26803] [248.0,(96,96),26778,S,196,6.0 ,254.0]
[26819] [249.0,(97,96),26803,S,197,5.0 ,254.0]
[26839] [250.0,(97,97),26819,E,198,4.0 ,254.0]
[26842] [251.0,(98,97),26839,S,199,3.0 ,254.0]
[26872] [252.0,(99,97),26842,S,200,2.0 ,254.0]
[26887] [253.0,(99,98),26872,E,201,1.0 ,254.0]
[26889] [257.0,(99,99),26887,E,202,0.0 ,257.0]
